,user_id,username,following,followers
336,336,djamila0021,382,154
337,337,AlkamaMalika,782,600
338,338,mmymy__,450,685
339,339,Raphistoch,1579,112
340,340,DNinadiego,1047,280
341,341,mouna_12345678,168,110
342,342,sofiakbrr,2323,2666
343,343,JulienRetaux,797,781
344,344,Shanks75017,75,75
345,345,fractale,1507,715
346,346,ArkanaFJ,58,182
347,347,ChbbMoh,1533,915
348,348,cmt_ds,444,2124
349,349,N_Guillerme,490,1084
350,350,EnzoRHz26,328,10
351,351,Ace_Foxxx,93,10
352,352,7b73f39b85e1415,398,593
353,353,anasui__,223,39
354,354,LahainePSG,867,221
355,355,AlyssHoffman,420,66
356,356,module5,601,1946
357,357,saahriii,345,427
358,358,E_Ferrand_03,1125,4005
359,359,balthayock,2828,962
360,360,gael_sliman,198,260
361,361,project_info3,226,31
362,362,HatimOfficel,77,11
363,363,MlgFadel,5174,5681
364,364,PericoloSporge1,772,628
365,365,isoloze,47,2
366,366,wolkadax1,3348,3732
367,367,Orion63534923,857,183
368,368,Selaphiel124,395,74
369,369,schmerwurst,174,43
370,370,kadove1,4052,4275
371,371,sana_pasdesens,716,729
372,372,Erwan97788044,269,3
373,373,_user874930388,1140,1084
374,374,piquet_alain2,190,128
375,375,LauraBouillette,194,24
376,376,Gaetangrcia,261,484
377,377,LouannFarcy,28,28
378,378,zoeatrd,99,121
379,379,Neantotal11,1641,1140
380,380,Devillk2,1159,513
381,381,_Aygoun,64,58
382,382,212mvghribiaa,1433,747
383,383,mv_rbrt,2766,1079
384,384,queenlatyphaine,244,203
385,385,_zigouingouin,73,62
386,386,yegaofficial,1851,821
387,387,alexis_renon,315,71
388,388,NgonoTania,3076,2117
389,389,Lo79338498,107,71
390,390,Enzo_drbc,225,37
391,391,45Poliveau,497,348
392,392,Django_T971,171,49
393,393,Khapta94,4962,3768
394,394,garin_morgane,66,17
395,395,Ju_lieA,302,255
396,396,jiirata,63,54
397,397,Atsarb,601,255
398,398,Nipiloma,947,370
399,399,veeeeergi,94,419
400,400,L_guerard,100,60
401,401,VincentCespedes,26814,23427
402,402,Tnt_Tele,709,534
403,403,Dmch_9,175,456
404,404,olivdeso,18,3
405,405,sonjnow_,475,550
406,406,thalassa2008,7766,7707
407,407,gaya9609,298,15
408,408,HadyMawasy,2686,1151
409,409,TouletJrme1,520,483
410,410,talla_sr,6733,7483
411,411,IfIdare,1042,601
412,412,tellkris,198,71
413,413,OmarMaTue_,678,33
414,414,SRG107,2303,785
415,415,AncientGator,448,441
416,416,marlon_obey,241,367
417,417,e691ccecc0354c0,3566,1105
418,418,AKleBisonvert,76,46
419,419,remjoe_,513,271
420,420,saraboury,248,47
421,421,Juuliabk,162,24
422,422,SltCAlex__,321,713
423,423,StephCarlier,331,110
424,424,great_zoltar,1048,453
425,425,yannbrou,892,1019
426,426,LettreBrest,2078,1701
427,427,Mark__Schindler,364,73
428,428,Kuza9318,788,33
429,429,OlivierSchneid,2318,4392
430,430,sky_s7777,159,47
431,431,FlitoPyranha,187,510
432,432,NilsVay,1012,1236
433,433,hrearcy,73,48
434,434,Onelife12571,27,6
435,435,karimbenns,20,109
436,436,_Naayouh,239,548
437,437,Azizmbg,3165,4027
438,438,Yoan_Lct,289,70
439,439,nico_dmr974,165,260
440,440,tyna_lwn,194,1
441,441,rom_brn,90,21
442,442,appolinesapiens,335,78
443,443,c_hbt,1879,3313
444,444,aladdinsane_29,194,96
445,445,valdriiiin,298,1099
446,446,M4R1U5_,647,75
447,447,gusdsdlc,1541,2445
448,448,Celine_Leger_FI,1059,1800
449,449,trompette45,155,54
450,450,leroi_o,1405,225
451,451,hoplinfo,12,1214
452,452,Juliette7506,422,85
453,453,Jade_EM2022,1018,1009
454,454,Just_Leo__,1038,552
455,455,Thomas73487017,88,85
456,456,Pessigeon,919,584
457,457,safapasnon,674,167
458,458,Berber92i,240,123
459,459,LeOums,493,1039
460,460,406Llama,5000,2313
461,461,B_Charlootte,396,604
462,462,Elise21000,290,57
463,463,garin_morgane,66,17
464,464,darn__d,50,27
465,465,Djolokoo,318,874
466,466,vasilica01,1749,1172
467,467,Olisipo1,45,60
468,468,Dellcano,4995,1295
469,469,opseudo,41,17
470,470,StockwatchIndia,0,4
471,471,dimil54,448,234
472,472,JahardF,1174,772
473,473,Dellcano,4995,1295
474,474,DanySmartphone,1448,610
475,475,lb_ahed,4,6633
476,476,5s170,3828,10562
477,477,S1ern0p,620,970
478,478,sarah_mkde,204,1224
479,479,sarah_mkde,204,1224
480,480,OrangeM_,1138,167
481,481,GonesRomz,1716,1368
482,482,444D1Lyo,105,59
